Date,Open,High,Low,Close,Volume
2000-05-17,42.6613,43.7095,41.962,42.93,93899906.660165
2000-05-18,43.1927,44.108,42.93,43.1927,71834650.451665
2000-05-19,42.4953,43.1029,40.526,41.0955,103104341.26967
2000-05-22,40.9675,41.3191,38.8253,41.2674,84883432.355347
2000-05-23,41.0516,41.7978,38.2569,38.3057,72184784.129999
2000-05-24,38.2168,41.1844,38.1748,40.9148,108138930.13272
2000-05-25,41.3544,42.6222,39.5726,40.1362,72332346.717982
2000-05-26,40.0943,41.7978,39.8686,40.9675,44198425.134142
2000-05-30,41.5741,43.8921,41.5322,43.8413,59838568.898049
2000-05-31,44.0161,44.5914,43.4105,43.4486,77491006.458073
2000-06-01,43.9732,45.326,43.9732,45.1972,65870561.938477
2000-06-02,46.2833,46.8987,46.0265,46.7669,61112760.036461
2000-06-05,46.2442,47.0736,45.7177,46.2013,56125158.690241
2000-06-06,45.7608,47.0736,45.1551,45.1551,67943308.4745
2000-06-07,45.0623,45.1033,43.7993,44.9373,56952368.508439
2000-06-08,45.1972,45.8516,43.9322,43.9732,49274271.653639
2000-06-09,44.5914,44.6286,43.7603,44.2808,39425149.435514
2000-06-12,44.5417,44.6286,43.4486,43.5853,37172748.179442
2000-06-13,43.4105,45.9346,43.2787,45.8516,56054393.839631
2000-06-14,45.6367,45.7608,43.9322,44.0591,53020345.239196
2000-06-15,44.1901,45.326,44.108,44.7175,47865987.245275
2000-06-16,45.0623,45.1972,43.8921,43.9322,63159716.570219
2000-06-19,44.7537,47.6392,44.7537,47.5981,87708031.371257
2000-06-20,47.3823,48.9012,47.3823,48.2028,83923278.924729
2000-06-21,47.5483,48.5515,47.4203,48.4714,47121584.505245
2000-06-22,48.1227,48.2468,46.7248,46.7248,42544003.450271
2000-06-23,47.1556,47.9478,46.7669,46.8518,43439982.854136
2000-06-26,47.3334,47.8169,46.2442,46.7669,42842852.984295
2000-06-27,46.6829,47.5981,45.7608,45.8056,47807819.488103
2000-06-28,45.9854,47.2875,45.6767,46.1525,43884384.355134
2000-06-29,45.6767,46.8518,45.5058,45.9346,67529274.107401
2000-06-30,45.6367,46.7669,45.1972,46.591,59356055.686813
2000-07-03,46.7669,47.729,46.591,47.729,21609678.562109
2000-07-05,46.4152,46.8987,45.8056,45.8955,60178391.489419
2000-07-06,45.8516,47.6831,45.5058,47.6392,64334486.38996
2000-07-07,48.0299,48.7771,47.4672,48.5515,53418617.115629
2000-07-10,48.0299,48.8191,47.768,48.0299,44912452.55037
2000-07-11,48.2028,49.2529,47.8169,48.3786,61291268.17019
2000-07-12,48.9012,49.5996,48.3786,49.2089,42727381.504641
2000-07-13,48.9422,50.5218,48.9012,49.9102,64721009.851579
2000-07-14,50.1721,51.2602,49.8624,51.1284,53683656.685585
2000-07-17,51.0863,51.3882,50.3009,50.9955,66732438.589267
2000-07-18,50.4729,50.4729,49.2938,49.8624,72611426.851651
2000-07-19,50.5218,50.9153,48.1227,48.1637,103420098.85694
2000-07-20,48.4284,49.9493,48.0768,49.7324,86658189.297085
2000-07-21,49.5586,49.5996,48.1227,48.1637,45968590.611916
2000-07-24,48.1637,49.5166,47.9889,48.1227,57069848.561626
2000-07-25,48.3376,49.4776,47.9889,49.1298,42439427.611856
2000-07-26,48.4714,48.8631,47.5981,48.4714,66818109.062018
2000-07-27,48.2946,48.9422,47.4203,47.768,56193643.676804
2000-07-28,48.1227,48.5974,44.8894,45.0232,79416759.604323
2000-07-31,45.6367,47.1165,44.9773,46.551,43653591.885279
2000-08-01,46.7669,46.9837,44.8064,45.0623,35817611.118156
2000-08-02,45.5058,46.1104,44.0591,44.149,47602088.11921
2000-08-03,43.1029,45.5849,42.1466,45.373,50058068.84735
2000-08-04,46.1525,46.2013,42.8421,43.6244,50056064.368769
2000-08-07,43.6664,44.8894,42.6222,43.8921,43888109.736931
2000-08-08,43.7603,44.1901,42.884,42.9699,35672914.99597
2000-08-09,43.8413,45.2381,43.8413,44.3248,43082247.922752
2000-08-10,44.0591,45.1972,43.2347,43.2347,23894167.855295
2000-08-11,43.1439,44.7175,42.4034,44.4987,32248191.6772
2000-08-14,44.9373,46.7248,44.3659,46.6829,36768742.34768
